© 2000-2024 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules
Cardiac Arrythmia	Ventricular fibrillation	1,21E-02	 	 	CYP2D6,MAOA	2
Liver Cholestasis,Liver Inflammation/Hepatitis	Cholestatic hepatitis	1,71E-02	 	 	ABCC2	1
Cardiac Arrythmia,Tachycardia	Ventricular tachycardia	1,73E-02	 	 	CYP2D6,MAOA	2
Liver Inflammation/Hepatitis	Chronic hepatitis C virus genotype 4	1,99E-02	 	 	POR	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Combined hepatocellular carcinoma and cholangiocarcinoma	1,99E-02	 	 	IDH1	1
Liver Inflammation/Hepatitis	Chronic hepatitis C	2,54E-02	 	 	POR,PPARA	2
Liver Cirrhosis,Liver Fibrosis	Early stage primary biliary cirrhosis	2,55E-02	 	 	MTTP	1
Cardiac Dysfunction,Cardiac Stenosis	Calcific aortic valve stenosis	2,55E-02	 	 	TIMP1	1
Kidney Failure	Failure of kidney	2,60E-02	 	 	CDKN1A,CYP2D6,FABP1	3
Cardiac Arteriopathy	Disorder of coronary artery	3,12E-02	 	 	APOA5,CD36,CYP2C19,PPARA	4
Liver Hyperplasia/Hyperproliferation	Advanced liver tumor	4,05E-02	 	 	IDH1,POR	2
Liver Hyperplasia/Hyperproliferation	Liver cholangiocarcinoma	4,59E-02	 	 	BRCA2,IDH1	2
Liver Hyperplasia/Hyperproliferation	Progressive liver metastasis	5,04E-02	 	 	POR	1
Liver Hyperplasia/Hyperproliferation	Ann Arbor stage I-IV hepatosplenic T-cell lymphoma	5,31E-02	 	 	POR	1
Cardiac Inflammation	Acute myocarditis	5,59E-02	 	 	IL1A	1
Liver Inflammation/Hepatitis	Acute alcoholic hepatitis	5,86E-02	 	 	IL1A	1
Cardiac Arteriopathy	Coronary artery disease	5,86E-02	 	 	APOA5,CD36,CYP2C19	3
Cardiac Arrythmia	Symptomatic stage atrial fibrillation	6,13E-02	 	 	CYP2D6	1
Cardiac Arrythmia,Tachycardia	Sustained ventricular tachycardia	6,13E-02	 	 	CYP2D6	1
Cardiac Arrythmia	Symptomatic stage atrial flutter	6,13E-02	 	 	CYP2D6	1
Liver Hyperplasia/Hyperproliferation	Small cell undifferentiated hepatoblastoma	6,40E-02	 	 	POR	1
Cardiac Inflammation	Pericarditis	6,67E-02	 	 	IL1A	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Locally advanced hepatocellular carcinoma	6,93E-02	 	 	POR	1
Cardiac Infarction	Acute myocardial infarction	7,07E-02	 	 	PPARA,WIPI1	2
Kidney Failure	Chronic renal failure	7,23E-02	 	 	CDKN1A,CYP2D6	2
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Primary hepatocellular carcinoma	8,26E-02	 	 	FASN	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Quantity of hepatocellular carcinoma	8,26E-02	 	 	IDH1	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatitis B surface antigen-negative hepatitis C virus negative hepatocellular carcinoma	8,53E-02	 	 	FGB	1
Cardiac Arrythmia,Tachycardia	Recurrent tachyarrhythmia	8,53E-02	 	 	CYP2D6	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	BCLC stage B hepatocellular carcinoma	8,79E-02	 	 	CCND1	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Metastatic hepatocellular carcinoma	9,83E-02	 	 	POR	1
Cardiac Arrythmia	Severe ventricular arrhythmia	1,04E-01	 	 	CYP2D6	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	BCLC stage C hepatocellular carcinoma	1,04E-01	 	 	CCND1	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Child-Pugh class A hepatocellular carcinoma	1,54E-01	 	 	POR	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Unresectable hepatocellular carcinoma	1,61E-01	 	 	POR	1
Liver Hyperplasia/Hyperproliferation	Advanced liver cholangiocarcinoma	1,68E-01	 	 	IDH1	1
Liver Inflammation/Hepatitis	Chronic hepatitis B	1,78E-01	 	 	TIMP1	1
Cardiac Infarction	ST-elevation myocardial infarction	2,33E-01	 	 	IL1A	1
Cardiac Dysfunction	Calcification of aortic valve	2,34E-01	 	 	HMOX1,TIMP1	2
Heart Failure	Failure of heart	2,47E-01	 	 	IL1A,TIMP1	2
Kidney Failure	End stage renal disease	2,90E-01	 	 	CYP2D6	1
Cardiac Dilation,Cardiac Enlargement	Dilated cardiomyopathy	2,99E-01	 	 	CRYAB,TIMP1	2
Renal Necrosis/Cell Death	Cell viability of kidney cell lines	3,12E-01	 	 	BRCA2	1
Cardiac Dilation,Cardiac Enlargement	Primary dilated cardiomyopathy	3,44E-01	 	 	CRYAB	1
Renal Proliferation	Cell proliferation of kidney cell lines	4,64E-01	 	 	CDKN1A	1
