© 2000-2024 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Glomerular Injury,Renal Inflammation,Renal Nephritis	Systemic lupus erythematosus nephritis	5,93E-02	CD80	1
Cardiac Damage	Cardiotoxicity	6,72E-02	POR	1
Cardiac Arteriopathy	Coronary artery disease	6,78E-02	ACAT2,FN1	2
Cardiac Dysfunction	Calcification of aortic valve	7,25E-02	CCN1,FN1	2
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Child-Pugh class A hepatocellular carcinoma	7,75E-02	POR	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Unresectable hepatocellular carcinoma	8,14E-02	POR	1
Liver Hyperplasia/Hyperproliferation	Liver cholangiocarcinoma	1,53E-01	BRCA1	1
Renal Necrosis/Cell Death	Cell viability of kidney cell lines	1,66E-01	BRCA1	1
Nephrosis	Nephrosis	2,52E-01	FN1	1
Cardiac Dilation,Cardiac Enlargement	Dilated cardiomyopathy	4,14E-01	FN1	1
