© 2000-2024 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Liver Hyperplasia/Hyperproliferation	Liver cancer	4,96E-03	AASS,ABCC2,ACADL,ADH1C,ALDH1A1,ALDH2,APOA5,BRCA2,CD36,CD44,CYP2C19,CYP2D6,CYP2E1,CYP3A4,CYP7A1,FABP1,FAS,FASN,FMO2,GPX2,HERPUD1,OGG1,POR,SCD,STBD1	25
Cardiac Damage	Cardiotoxicity	5,09E-03	ABCC2,POR	2
Liver Steatosis	Advanced stage hepatic steatosis	6,37E-03	CD44	1
Cardiac Arrythmia	Ventricular fibrillation	6,79E-03	CYP2D6,MAOA	2
Liver Hyperplasia/Hyperproliferation	Inoperable liver metastasis	8,49E-03	POR	1
Liver Inflammation/Hepatitis	HIV-HCV co-infection	8,49E-03	CYP3A4	1
Kidney Failure,Renal Damage	Ischemic acute renal failure	8,49E-03	FABP1	1
Cardiac Arrythmia,Tachycardia	Ventricular tachycardia	9,76E-03	CYP2D6,MAOA	2
Cardiac Arteriopathy	Disorder of coronary artery	1,16E-02	APOA5,CD36,CYP2C19,PPARA	4
Liver Cholestasis,Liver Inflammation/Hepatitis	Cholestatic hepatitis	1,27E-02	ABCC2	1
Cardiac Arrythmia	Atrial fibrillation	1,28E-02	ALDH1A1,CYP2D6,MAOA	3
Liver Inflammation/Hepatitis	Chronic hepatitis C	1,45E-02	POR,PPARA	2
Liver Inflammation/Hepatitis	Chronic hepatitis C virus genotype 4	1,48E-02	POR	1
Liver Hyperplasia/Hyperproliferation	Liver tumor	1,55E-02	AASS,ABCC2,ACADL,ADH1C,ALDH1A1,ALDH2,APOA5,BRCA2,CD36,CD44,CYP2C19,CYP2D6,CYP2E1,CYP3A4,CYP7A1,FABP1,FAS,FASN,FMO2,FMO3,GPX2,HERPUD1,OGG1,POR,SCD,STBD1	26
Liver Hyperplasia/Hyperproliferation	Liver carcinoma	1,79E-02	AASS,ABCC2,ACADL,ADH1C,ALDH2,APOA5,BRCA2,CD36,CD44,CYP2C19,CYP2D6,CYP2E1,CYP3A4,CYP7A1,FABP1,FASN,FMO2,GPX2,HERPUD1,OGG1,POR,SCD,STBD1	23
Liver Cirrhosis,Liver Fibrosis	Early stage primary biliary cirrhosis	1,90E-02	MTTP	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatitis B virus-related hepatocellular carcinoma	2,74E-02	ABCC2,FASN	2
Cardiac Arteriopathy	Coronary artery disease	2,77E-02	APOA5,CD36,CYP2C19	3
Liver Hyperplasia/Hyperproliferation	Progressive liver metastasis	3,76E-02	POR	1
Liver Hyperplasia/Hyperproliferation	Ann Arbor stage I-IV hepatosplenic T-cell lymphoma	3,97E-02	POR	1
Cardiac Infarction	Acute myocardial infarction	4,16E-02	PPARA,WIPI1	2
Cardiac Inflammation	Acute myocarditis	4,17E-02	IL1A	1
Liver Inflammation/Hepatitis	Acute alcoholic hepatitis	4,38E-02	IL1A	1
Cardiac Arrythmia	Symptomatic stage atrial fibrillation	4,58E-02	CYP2D6	1
Cardiac Arrythmia,Tachycardia	Sustained ventricular tachycardia	4,58E-02	CYP2D6	1
Cardiac Arrythmia	Symptomatic stage atrial flutter	4,58E-02	CYP2D6	1
Liver Hyperplasia/Hyperproliferation	Small cell undifferentiated hepatoblastoma	4,79E-02	POR	1
Cardiac Inflammation	Pericarditis	4,99E-02	IL1A	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Locally advanced hepatocellular carcinoma	5,19E-02	POR	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Primary hepatocellular carcinoma	6,20E-02	FASN	1
Cardiac Arrythmia,Tachycardia	Recurrent tachyarrhythmia	6,40E-02	CYP2D6	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Metastatic hepatocellular carcinoma	7,39E-02	POR	1
Cardiac Arrythmia	Severe ventricular arrhythmia	7,78E-02	CYP2D6	1
Kidney Failure	Failure of kidney	8,10E-02	CYP2D6,FABP1	2
Liver Hyperplasia/Hyperproliferation	Quantity of liver tumor	8,96E-02	BRCA2	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Child-Pugh class A hepatocellular carcinoma	1,16E-01	POR	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Unresectable hepatocellular carcinoma	1,22E-01	POR	1
Cardiac Infarction	ST-elevation myocardial infarction	1,78E-01	IL1A	1
Kidney Failure	End stage renal disease	2,25E-01	CYP2D6	1
Liver Hyperplasia/Hyperproliferation	Liver cholangiocarcinoma	2,25E-01	BRCA2	1
Renal Necrosis/Cell Death	Cell viability of kidney cell lines	2,43E-01	BRCA2	1
Cardiac Dilation,Cardiac Enlargement	Primary dilated cardiomyopathy	2,68E-01	CRYAB	1
Heart Failure	Failure of heart	5,10E-01	IL1A	1
